V1,V2,V3,V4,V5,V6
klein_emotional_attraction_male_qt,klein_gender_socialize_with_male_qt,M,0.1759,0.2106,0.403586719300031
klein_emotional_attraction_male_qt,klein_sexual_attraction_male_qt,M,0.9252,0.0384,2.90675773061676e-128
klein_emotional_attraction_male_qt,klein_sexual_community_preference_male_qt,M,0.678,0.1424,1.92410923977354e-06
klein_emotional_attraction_male_qt,klein_sexual_fantasies_male_qt,M,0.9253,0.0397,3.73815565803522e-120
klein_emotional_attraction_male_qt,klein_sexual_identity_male_qt,M,0.9172,0.0386,8.32541150231744e-125
klein_emotional_attraction_male_qt,klein_sexual_partners_male_qt,M,0.8893,0.0417,6.49529796453752e-101
klein_emotional_attraction_male_qt,sexual_attraction_male_cc,M,0.9031,0.0433,1.32192407444581e-96
klein_emotional_attraction_male_qt,sexual_attraction_male_ukbb_cc,M,0.7679,0.0849,1.49996305562931e-19
klein_emotional_attraction_male_qt,sexual_partners_male_cc,M,0.8745,0.0467,3.0442427613293e-78
klein_emotional_attraction_male_qt,sexual_partners_male_ukbb_cc,M,0.7431,0.0684,1.71021471869834e-27
klein_gender_socialize_with_male_qt,klein_sexual_attraction_male_qt,M,0.129,0.1773,0.466870499258605
klein_gender_socialize_with_male_qt,klein_sexual_community_preference_male_qt,M,0.0702,0.253,0.78141896522239
klein_gender_socialize_with_male_qt,klein_sexual_fantasies_male_qt,M,0.2531,0.185,0.171278239122807
klein_gender_socialize_with_male_qt,klein_sexual_identity_male_qt,M,0.1913,0.1818,0.292682468168787
klein_gender_socialize_with_male_qt,klein_sexual_partners_male_qt,M,0.1818,0.1779,0.306817616260322
klein_gender_socialize_with_male_qt,sexual_attraction_male_cc,M,0.1384,0.1818,0.446492156205928
klein_gender_socialize_with_male_qt,sexual_attraction_male_ukbb_cc,M,-0.0615,0.2118,0.77153451387551
klein_gender_socialize_with_male_qt,sexual_partners_male_cc,M,0.2245,0.1849,0.224682882022452
klein_gender_socialize_with_male_qt,sexual_partners_male_ukbb_cc,M,0.0043,0.1693,0.979736947600349
klein_sexual_attraction_male_qt,klein_sexual_community_preference_male_qt,M,0.5924,0.1094,6.12918369665584e-08
klein_sexual_attraction_male_qt,klein_sexual_fantasies_male_qt,M,1.0023,0.0056,0
klein_sexual_attraction_male_qt,klein_sexual_identity_male_qt,M,0.9992,0.005,0
klein_sexual_attraction_male_qt,klein_sexual_partners_male_qt,M,0.9937,0.0078,0
klein_sexual_attraction_male_qt,sexual_attraction_male_cc,M,1.0039,0.0054,0
klein_sexual_attraction_male_qt,sexual_attraction_male_ukbb_cc,M,0.8995,0.0345,7.48531940808509e-150
klein_sexual_attraction_male_qt,sexual_partners_male_cc,M,0.9874,0.0126,0
klein_sexual_attraction_male_qt,sexual_partners_male_ukbb_cc,M,0.8798,0.0345,1.89961694953842e-143
klein_sexual_community_preference_male_qt,klein_sexual_fantasies_male_qt,M,0.6178,0.1099,1.89334923304978e-08
klein_sexual_community_preference_male_qt,klein_sexual_identity_male_qt,M,0.649,0.104,4.36496277749619e-10
klein_sexual_community_preference_male_qt,klein_sexual_partners_male_qt,M,0.6315,0.1037,1.13135343474256e-09
klein_sexual_community_preference_male_qt,sexual_attraction_male_cc,M,0.531,0.1179,6.67437510176466e-06
klein_sexual_community_preference_male_qt,sexual_attraction_male_ukbb_cc,M,0.6161,0.1441,1.90706127704146e-05
klein_sexual_community_preference_male_qt,sexual_partners_male_cc,M,0.5502,0.116,2.10468721967018e-06
klein_sexual_community_preference_male_qt,sexual_partners_male_ukbb_cc,M,0.653,0.1075,1.24437733256476e-09
klein_sexual_fantasies_male_qt,klein_sexual_identity_male_qt,M,1.0057,0.0065,0
klein_sexual_fantasies_male_qt,klein_sexual_partners_male_qt,M,0.9972,0.0095,0
klein_sexual_fantasies_male_qt,sexual_attraction_male_cc,M,1.0048,0.0115,0
klein_sexual_fantasies_male_qt,sexual_attraction_male_ukbb_cc,M,0.9296,0.0403,9.93226746714658e-118
klein_sexual_fantasies_male_qt,sexual_partners_male_cc,M,1.0066,0.0147,0
klein_sexual_fantasies_male_qt,sexual_partners_male_ukbb_cc,M,0.8906,0.0341,2.31910337004869e-150
klein_sexual_identity_male_qt,klein_sexual_partners_male_qt,M,1.0004,0.0089,0
klein_sexual_identity_male_qt,sexual_attraction_male_cc,M,0.9931,0.0091,0
klein_sexual_identity_male_qt,sexual_attraction_male_ukbb_cc,M,0.9197,0.0374,1.58027255502732e-133
klein_sexual_identity_male_qt,sexual_partners_male_cc,M,1.0001,0.0137,0
klein_sexual_identity_male_qt,sexual_partners_male_ukbb_cc,M,0.8968,0.034,2.55160595570398e-153
klein_sexual_partners_male_qt,sexual_attraction_male_cc,M,0.9856,0.0129,0
klein_sexual_partners_male_qt,sexual_attraction_male_ukbb_cc,M,0.9192,0.0473,4.02747928929039e-84
klein_sexual_partners_male_qt,sexual_partners_male_cc,M,0.9948,0.0058,0
klein_sexual_partners_male_qt,sexual_partners_male_ukbb_cc,M,0.9205,0.0242,0
sexual_attraction_male_cc,sexual_attraction_male_ukbb_cc,M,0.8875,0.0515,1.50132323892708e-66
sexual_attraction_male_cc,sexual_partners_male_cc,M,0.9806,0.0122,0
sexual_attraction_male_cc,sexual_partners_male_ukbb_cc,M,0.8597,0.0429,2.48623497258351e-89
sexual_attraction_male_ukbb_cc,sexual_partners_male_cc,M,0.873,0.0585,2.33264079563903e-50
sexual_attraction_male_ukbb_cc,sexual_partners_male_ukbb_cc,M,0.9414,0.0454,1.65095363814006e-95
sexual_partners_male_cc,sexual_partners_male_ukbb_cc,M,0.8755,0.0401,1.1297426373525e-105
klein_emotional_attraction_female_qt,klein_gender_socialize_with_female_qt,F,0.5949,0.1476,5.56612169643532e-05
klein_emotional_attraction_female_qt,klein_sexual_attraction_female_qt,F,0.6114,0.1845,0.000920303571599393
klein_emotional_attraction_female_qt,klein_sexual_community_preference_female_qt,F,0.5914,0.2043,0.00379445376925201
klein_emotional_attraction_female_qt,klein_sexual_fantasies_female_qt,F,0.3061,0.2012,0.128166569127193
klein_emotional_attraction_female_qt,klein_sexual_identity_female_qt,F,0.6998,0.2864,0.0145481595968515
klein_emotional_attraction_female_qt,klein_sexual_partners_female_qt,F,0.4864,0.2162,0.0244636298202066
klein_emotional_attraction_female_qt,sexual_attraction_female_cc,F,0.46,0.2717,0.0904471307181447
klein_emotional_attraction_female_qt,sexual_attraction_female_ukbb_cc,F,0.4387,0.1671,0.008655383009013
klein_emotional_attraction_female_qt,sexual_partners_female_cc,F,0.5827,0.2861,0.0416800689748429
klein_emotional_attraction_female_qt,sexual_partners_female_ukbb_cc,F,0.277,0.1487,0.0624888577974736
klein_gender_socialize_with_female_qt,klein_sexual_attraction_female_qt,F,0.1686,0.2689,0.530659966472002
klein_gender_socialize_with_female_qt,klein_sexual_community_preference_female_qt,F,0.0127,0.2658,0.961891348158482
klein_gender_socialize_with_female_qt,klein_sexual_fantasies_female_qt,F,0.1624,0.2457,0.508632411616317
klein_gender_socialize_with_female_qt,klein_sexual_identity_female_qt,F,0.0751,0.3733,0.840558864181303
klein_gender_socialize_with_female_qt,klein_sexual_partners_female_qt,F,-0.1724,0.3028,0.569116803932926
klein_gender_socialize_with_female_qt,sexual_attraction_female_cc,F,0.0678,0.3024,0.822596743276507
klein_gender_socialize_with_female_qt,sexual_attraction_female_ukbb_cc,F,0.1481,0.2086,0.477721973003606
klein_gender_socialize_with_female_qt,sexual_partners_female_cc,F,-0.4395,0.434,0.311216468809951
klein_gender_socialize_with_female_qt,sexual_partners_female_ukbb_cc,F,-0.2704,0.2075,0.192529519479908
klein_sexual_attraction_female_qt,klein_sexual_community_preference_female_qt,F,0.8365,0.2724,0.00213449146717577
klein_sexual_attraction_female_qt,klein_sexual_fantasies_female_qt,F,0.9646,0.111,3.62152189811435e-18
klein_sexual_attraction_female_qt,klein_sexual_identity_female_qt,F,1.0391,0.1071,2.95218358896657e-22
klein_sexual_attraction_female_qt,klein_sexual_partners_female_qt,F,0.8531,0.1233,4.55173645065885e-12
klein_sexual_attraction_female_qt,sexual_attraction_female_cc,F,0.533,0.2761,0.0535498695088204
klein_sexual_attraction_female_qt,sexual_attraction_female_ukbb_cc,F,0.8011,0.1425,1.89027889435415e-08
klein_sexual_attraction_female_qt,sexual_partners_female_cc,F,0.5926,0.2965,0.0456461360134168
klein_sexual_attraction_female_qt,sexual_partners_female_ukbb_cc,F,0.7237,0.1597,5.8532575308555e-06
klein_sexual_community_preference_female_qt,klein_sexual_fantasies_female_qt,F,0.4913,0.2593,0.0581299646777254
klein_sexual_community_preference_female_qt,klein_sexual_identity_female_qt,F,0.8273,0.3686,0.0248042071478901
klein_sexual_community_preference_female_qt,klein_sexual_partners_female_qt,F,0.7806,0.3162,0.0135608373719314
klein_sexual_community_preference_female_qt,sexual_attraction_female_cc,F,0.6452,0.3753,0.0855856048588474
klein_sexual_community_preference_female_qt,sexual_attraction_female_ukbb_cc,F,0.4225,0.2222,0.0572443855832496
klein_sexual_community_preference_female_qt,sexual_partners_female_cc,F,0.5155,0.4079,0.206305359462014
klein_sexual_community_preference_female_qt,sexual_partners_female_ukbb_cc,F,0.7227,0.1925,0.000173836487181535
klein_sexual_fantasies_female_qt,klein_sexual_identity_female_qt,F,1.1325,0.2346,1.3835090687347e-06
klein_sexual_fantasies_female_qt,klein_sexual_partners_female_qt,F,0.8314,0.171,1.1621249098222e-06
klein_sexual_fantasies_female_qt,sexual_attraction_female_cc,F,0.6953,0.2507,0.00554680251962072
klein_sexual_fantasies_female_qt,sexual_attraction_female_ukbb_cc,F,0.8557,0.1676,3.29731567208483e-07
klein_sexual_fantasies_female_qt,sexual_partners_female_cc,F,0.6579,0.3087,0.0330730531563771
klein_sexual_fantasies_female_qt,sexual_partners_female_ukbb_cc,F,0.5499,0.1658,0.000911047886950104
klein_sexual_identity_female_qt,klein_sexual_partners_female_qt,F,0.8912,0.1486,2.00615082515585e-09
klein_sexual_identity_female_qt,sexual_attraction_female_cc,F,0.4051,0.4521,0.370231026902557
klein_sexual_identity_female_qt,sexual_attraction_female_ukbb_cc,F,0.9892,0.3216,0.00209888879436701
klein_sexual_identity_female_qt,sexual_partners_female_cc,F,0.4567,0.4495,0.309620911448318
klein_sexual_identity_female_qt,sexual_partners_female_ukbb_cc,F,1.0168,0.2883,0.000420484559934638
klein_sexual_partners_female_qt,sexual_attraction_female_cc,F,0.5818,0.2646,0.0278928132571167
klein_sexual_partners_female_qt,sexual_attraction_female_ukbb_cc,F,0.4619,0.238,0.0522878435848794
klein_sexual_partners_female_qt,sexual_partners_female_cc,F,0.7089,0.2073,0.000626944654591214
klein_sexual_partners_female_qt,sexual_partners_female_ukbb_cc,F,0.8837,0.1285,6.11077550650975e-12
sexual_attraction_female_cc,sexual_attraction_female_ukbb_cc,F,-0.0363,0.3531,0.918118738239419
sexual_attraction_female_cc,sexual_partners_female_cc,F,0.9663,0.2269,2.05615270896697e-05
sexual_attraction_female_cc,sexual_partners_female_ukbb_cc,F,0.0903,0.3018,0.764783808938119
sexual_attraction_female_ukbb_cc,sexual_partners_female_cc,F,-0.1101,0.3721,0.767315461235766
sexual_attraction_female_ukbb_cc,sexual_partners_female_ukbb_cc,F,0.6607,0.1358,1.14316264781814e-06
sexual_partners_female_cc,sexual_partners_female_ukbb_cc,F,0.2139,0.2945,0.467645201991877
klein_emotional_attraction_qt,klein_gender_socialize_with_qt,MF,0.2993,0.1344,0.0259516500909169
klein_emotional_attraction_qt,klein_sexual_attraction_qt,MF,0.7504,0.0584,8.67751446741071e-38
klein_emotional_attraction_qt,klein_sexual_community_preference_qt,MF,0.6032,0.1167,2.35590626229324e-07
klein_emotional_attraction_qt,klein_sexual_fantasies_qt,MF,0.6755,0.0725,1.19404351835167e-20
klein_emotional_attraction_qt,klein_sexual_identity_qt,MF,0.7379,0.0647,3.95022772994442e-30
klein_emotional_attraction_qt,klein_sexual_partners_qt,MF,0.7007,0.0712,7.4744613359858e-23
klein_emotional_attraction_qt,sexual_attraction_cc,MF,0.6732,0.0694,3.0064824050104e-22
klein_emotional_attraction_qt,sexual_attraction_ukbb_cc,MF,0.6156,0.0912,1.47845155560356e-11
klein_emotional_attraction_qt,sexual_partners_cc,MF,0.6512,0.0828,3.69881678463761e-15
klein_emotional_attraction_qt,sexual_partners_ukbb_cc,MF,0.5305,0.0881,1.72737129299098e-09
klein_gender_socialize_with_qt,klein_sexual_attraction_qt,MF,0.082,0.1458,0.573833801404682
klein_gender_socialize_with_qt,klein_sexual_community_preference_qt,MF,-0.0262,0.1854,0.887620252337452
klein_gender_socialize_with_qt,klein_sexual_fantasies_qt,MF,0.1582,0.1537,0.303349145691171
klein_gender_socialize_with_qt,klein_sexual_identity_qt,MF,0.081,0.1529,0.596279720562624
klein_gender_socialize_with_qt,klein_sexual_partners_qt,MF,-0.0415,0.1484,0.779746352669722
klein_gender_socialize_with_qt,sexual_attraction_cc,MF,0.0269,0.1417,0.849436324267262
klein_gender_socialize_with_qt,sexual_attraction_ukbb_cc,MF,0.0996,0.1562,0.52370541669792
klein_gender_socialize_with_qt,sexual_partners_cc,MF,-0.0645,0.1547,0.676725216914898
klein_gender_socialize_with_qt,sexual_partners_ukbb_cc,MF,-0.2442,0.1428,0.0872503348143606
klein_sexual_attraction_qt,klein_sexual_community_preference_qt,MF,0.5078,0.1039,1.0218065881047e-06
klein_sexual_attraction_qt,klein_sexual_fantasies_qt,MF,0.9952,0.0136,0
klein_sexual_attraction_qt,klein_sexual_identity_qt,MF,0.9961,0.0086,0
klein_sexual_attraction_qt,klein_sexual_partners_qt,MF,0.9845,0.0128,0
klein_sexual_attraction_qt,sexual_attraction_cc,MF,0.9739,0.0123,0
klein_sexual_attraction_qt,sexual_attraction_ukbb_cc,MF,0.7954,0.0468,8.83292059970688e-65
klein_sexual_attraction_qt,sexual_partners_cc,MF,0.9544,0.027,1.0704782890684e-273
klein_sexual_attraction_qt,sexual_partners_ukbb_cc,MF,0.8073,0.0465,1.62040383307524e-67
klein_sexual_community_preference_qt,klein_sexual_fantasies_qt,MF,0.4919,0.1127,1.27306069275244e-05
klein_sexual_community_preference_qt,klein_sexual_identity_qt,MF,0.5609,0.1021,3.93746775216658e-08
klein_sexual_community_preference_qt,klein_sexual_partners_qt,MF,0.5463,0.1025,9.8344751569036e-08
klein_sexual_community_preference_qt,sexual_attraction_cc,MF,0.4024,0.1125,0.000347707880474451
klein_sexual_community_preference_qt,sexual_attraction_ukbb_cc,MF,0.5975,0.1262,2.19543447730196e-06
klein_sexual_community_preference_qt,sexual_partners_cc,MF,0.373,0.1248,0.00280091849208254
klein_sexual_community_preference_qt,sexual_partners_ukbb_cc,MF,0.7115,0.1184,1.86336932203187e-09
klein_sexual_fantasies_qt,klein_sexual_identity_qt,MF,1.0011,0.0149,0
klein_sexual_fantasies_qt,klein_sexual_partners_qt,MF,0.9775,0.0225,0
klein_sexual_fantasies_qt,sexual_attraction_cc,MF,0.9702,0.0256,0
klein_sexual_fantasies_qt,sexual_attraction_ukbb_cc,MF,0.8448,0.0554,1.66924453273127e-52
klein_sexual_fantasies_qt,sexual_partners_cc,MF,0.9547,0.0349,9.33960725176847e-165
klein_sexual_fantasies_qt,sexual_partners_ukbb_cc,MF,0.8351,0.0505,1.99884742048174e-61
klein_sexual_identity_qt,klein_sexual_partners_qt,MF,1,0.0128,0
klein_sexual_identity_qt,sexual_attraction_cc,MF,0.966,0.0171,0
klein_sexual_identity_qt,sexual_attraction_ukbb_cc,MF,0.8143,0.0543,7.760815014335e-51
klein_sexual_identity_qt,sexual_partners_cc,MF,0.9735,0.0254,0
klein_sexual_identity_qt,sexual_partners_ukbb_cc,MF,0.8573,0.0433,3.03202918462032e-87
klein_sexual_partners_qt,sexual_attraction_cc,MF,0.9637,0.0193,0
klein_sexual_partners_qt,sexual_attraction_ukbb_cc,MF,0.7116,0.0626,6.07624447699528e-30
klein_sexual_partners_qt,sexual_partners_cc,MF,0.9594,0.0139,0
klein_sexual_partners_qt,sexual_partners_ukbb_cc,MF,0.8719,0.0355,3.33541211240184e-133
sexual_attraction_cc,sexual_attraction_ukbb_cc,MF,0.6372,0.0729,2.31586920044036e-18
sexual_attraction_cc,sexual_partners_cc,MF,0.9884,0.0179,0
sexual_attraction_cc,sexual_partners_ukbb_cc,MF,0.6902,0.0659,1.14402713421464e-25
sexual_attraction_ukbb_cc,sexual_partners_cc,MF,0.5617,0.0828,1.1704203501673e-11
sexual_attraction_ukbb_cc,sexual_partners_ukbb_cc,MF,0.7728,0.0592,6.02537880927161e-39
sexual_partners_cc,sexual_partners_ukbb_cc,MF,0.7117,0.0647,3.82131914899728e-28
