p1,p2,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se
homosexuality.female.23andMe_UKB,nr_sex_partners_hetero_males,0.4054,0.0792,5.1187,3.08E-07,0.0877,0.0051,1.0064,0.0088,0.0122,0.0061
homosexuality.female.23andMe_UKB,nr_sex_partners_hetero_females,0.7231,0.0758,9.535,1.50E-21,0.071,0.0041,1.0216,0.0087,0.0048,0.0051
homosexuality.female.23andMe_UKB,risk_behavior,0.3637,0.0622,5.8433,5.12E-09,0.0544,0.0025,1.0216,0.0109,0.0513,0.0059
homosexuality.female.23andMe_UKB,smoking_ever_vs_never,0.4264,0.0898,4.7482,2.05E-06,0.0713,0.0067,1.002,0.0063,-0.0084,0.0046
homosexuality.female.23andMe_UKB,AgeFirstBirth_Male,-0.0717,0.0914,-0.7843,4.33E-01,0.1127,0.0112,0.9435,0.0068,0.0009,0.0051
homosexuality.female.23andMe_UKB,AgeFirstBirth_Female,-0.1034,0.0679,-1.5226,1.28E-01,0.0524,0.0038,0.97,0.0076,-0.0019,0.0051
homosexuality.female.23andMe_UKB,NumberChildrenEverBorn_Male,0.256,0.117,2.1871,2.87E-02,0.0333,0.0052,0.9739,0.0065,-0.0081,0.005
homosexuality.female.23andMe_UKB,NumberChildrenEverBorn_Female,0.0893,0.0949,0.9409,3.47E-01,0.0213,0.0023,0.9777,0.0066,-0.0144,0.0049
homosexuality.female.23andMe_UKB,Neuroticism_Full,0.2159,0.0796,2.7144,6.64E-03,0.0893,0.0081,0.9886,0.0131,-0.0217,0.0067
homosexuality.female.23andMe_UKB,SWB_Full,-0.3068,0.0859,-3.571,3.56E-04,0.0249,0.0021,1.0017,0.0074,0.0055,0.0057
homosexuality.female.23andMe_UKB,MDD2018_ex23andMe.sumstats,0.3988,0.0695,5.7388,9.54E-09,0.076,0.0047,0.9945,0.0093,-0.0073,0.0059
homosexuality.female.23andMe_UKB,ADHD_2017,0.2061,0.0668,3.0851,2.04E-03,0.2282,0.0155,1.0314,0.0107,0.0022,0.0062
homosexuality.female.23andMe_UKB,SCZ2,0.1931,0.0499,3.8721,1.08E-04,0.2419,0.01,1.0414,0.0127,0.0057,0.0069
homosexuality.female.23andMe_UKB,autism_2017.ipsych.pgc,0.2165,0.0804,2.6936,7.07E-03,0.1961,0.0165,1.0066,0.0096,0.0002,0.0069
homosexuality.female.23andMe_UKB,bipolar,0.3667,0.0867,4.2285,2.35E-05,0.118,0.011,1.0145,0.0105,-0.0022,0.0067
homosexuality.female.23andMe_UKB,alcohol_clarke,0.1604,0.0732,2.1909,2.85E-02,0.0805,0.0057,1.0104,0.0073,0.0098,0.005
homosexuality.female.23andMe_UKB,smoking_cigs_per_day,-0.0427,0.1122,-0.3802,7.04E-01,0.0608,0.0157,1.0043,0.0067,0.0053,0.0045
homosexuality.female.23andMe_UKB,cannabis,0.5989,0.1292,4.6356,3.56E-06,0.0897,0.0157,0.9997,0.0063,0.0028,0.0049
homosexuality.female.23andMe_UKB,anorexia,-0.1554,0.1088,-1.4288,1.53E-01,0.1902,0.0312,1.0112,0.0083,-0.0004,0.0053
homosexuality.female.23andMe_UKB,self_rated_health,0.1402,0.0752,1.8653,6.21E-02,0.0951,0.0062,1.0166,0.0079,-0.0029,0.0053
homosexuality.female.23andMe_UKB,anxiety,0.2906,0.1821,1.5957,1.11E-01,0.0624,0.0265,1.0003,0.0068,-0.0045,0.0051
homosexuality.female.23andMe_UKB,height_combined,-0.0229,0.0406,-0.5625,5.74E-01,0.3427,0.0175,1.2245,0.0319,-0.0038,0.0073
homosexuality.female.23andMe_UKB,age_at_menopauze,-0.0749,0.0683,-1.096,2.73E-01,0.1357,0.0157,0.9893,0.014,0.0103,0.0055
homosexuality.female.23andMe_UKB,age_at_menarche,-0.072,0.0504,-1.4284,1.53E-01,0.2498,0.0131,0.9659,0.0114,-0.0031,0.0053
homosexuality.female.23andMe_UKB,birth_weight,0.0358,0.055,0.6522,5.14E-01,0.1025,0.007,1.0404,0.0102,-0.0036,0.0049
homosexuality.female.23andMe_UKB,whr_males,-0.0075,0.1033,-0.0725,9.42E-01,0.118,0.0149,0.9402,0.0066,-0.0013,0.0051
homosexuality.female.23andMe_UKB,whr_females,0.0921,0.0908,1.0143,3.10E-01,0.1075,0.0144,0.9427,0.0075,-0.0008,0.0049
homosexuality.female.23andMe_UKB,loneliness_333k,0.1957,0.0601,3.2546,1.14E-03,0.0377,0.0023,1.0175,0.0082,0.0047,0.0046
homosexuality.female.23andMe_UKB,openness.GPC.23andme,0.289,0.0783,3.6908,0.0002,0.0155,0.0024,0.9976,0.0077,0.0148,0.0054
homosexuality.male.23andMe_UKB,nr_sex_partners_hetero_males,0.2926,0.0542,5.4034,6.54E-08,0.0874,0.005,1.0074,0.0083,0.0079,0.0055
homosexuality.male.23andMe_UKB,nr_sex_partners_hetero_females,0.3137,0.0567,5.5309,3.19E-08,0.0712,0.0041,1.0209,0.0087,0.0085,0.0055
homosexuality.male.23andMe_UKB,risk_behavior,0.2102,0.0525,4.0051,6.20E-05,0.0545,0.0025,1.021,0.0109,0.0079,0.0059
homosexuality.male.23andMe_UKB,smoking_ever_vs_never,0.2085,0.0787,2.648,8.10E-03,0.071,0.0067,1.0025,0.0063,-0.0006,0.005
homosexuality.male.23andMe_UKB,AgeFirstBirth_Male,-0.1441,0.0658,-2.1885,2.86E-02,0.1134,0.0106,0.9428,0.0066,-0.0011,0.0047
homosexuality.male.23andMe_UKB,AgeFirstBirth_Female,-0.2085,0.0618,-3.3757,7.36E-04,0.0524,0.0038,0.9702,0.0077,-0.0024,0.0051
homosexuality.male.23andMe_UKB,NumberChildrenEverBorn_Male,0.0724,0.0947,0.765,4.44E-01,0.0337,0.0052,0.9729,0.0063,-0.0256,0.0051
homosexuality.male.23andMe_UKB,NumberChildrenEverBorn_Female,-0.0222,0.0823,-0.2703,7.87E-01,0.0212,0.0023,0.9782,0.0069,0.0003,0.0049
homosexuality.male.23andMe_UKB,Neuroticism_Full,0.174,0.0554,3.1388,1.70E-03,0.0891,0.0079,0.9894,0.0128,0.0093,0.0054
homosexuality.male.23andMe_UKB,SWB_Full,-0.0836,0.0797,-1.048,2.95E-01,0.0251,0.0021,1.0004,0.0074,-0.0132,0.0056
homosexuality.male.23andMe_UKB,MDD2018_ex23andMe.sumstats,0.288,0.0594,4.845,1.27E-06,0.0758,0.0048,0.9954,0.0093,0.0023,0.0055
homosexuality.male.23andMe_UKB,ADHD_2017,0.208,0.0645,3.2255,1.26E-03,0.2287,0.0153,1.0309,0.0106,-0.0041,0.0067
homosexuality.male.23andMe_UKB,SCZ2,0.1239,0.0382,3.2424,1.19E-03,0.2415,0.0099,1.0422,0.0126,0.0076,0.0065
homosexuality.male.23andMe_UKB,autism_2017.ipsych.pgc,0.0761,0.0709,1.073,2.83E-01,0.1954,0.0165,1.0074,0.0096,0.0009,0.0054
homosexuality.male.23andMe_UKB,bipolar,0.0195,0.0785,0.2478,8.04E-01,0.1175,0.011,1.015,0.0105,0.0075,0.007
homosexuality.male.23andMe_UKB,alcohol_clarke,-0.0245,0.0611,-0.4004,6.89E-01,0.0801,0.006,1.0114,0.0078,0.003,0.0048
homosexuality.male.23andMe_UKB,smoking_cigs_per_day,-0.0511,0.1086,-0.4708,6.38E-01,0.0593,0.0156,1.0055,0.0067,0.0066,0.0048
homosexuality.male.23andMe_UKB,cannabis,0.3108,0.1066,2.917,3.53E-03,0.0883,0.016,1.0004,0.0065,-0.0038,0.0051
homosexuality.male.23andMe_UKB,anorexia,0.0155,0.0974,0.1587,8.74E-01,0.191,0.031,1.0109,0.0081,-0.0036,0.0052
homosexuality.male.23andMe_UKB,self_rated_health,0.1078,0.0616,1.7502,8.01E-02,0.095,0.0063,1.0168,0.0077,0.0043,0.0051
homosexuality.male.23andMe_UKB,anxiety,-0.1247,0.1454,-0.8578,3.91E-01,0.0606,0.0257,1.0009,0.0066,0.0049,0.0048
homosexuality.male.23andMe_UKB,height_combined,-0.0773,0.0342,-2.2573,2.40E-02,0.3426,0.0175,1.2265,0.0313,0.0033,0.007
homosexuality.male.23andMe_UKB,age_at_menopauze,-0.055,0.0645,-0.8525,3.94E-01,0.1359,0.0155,0.9891,0.014,0.0014,0.0053
homosexuality.male.23andMe_UKB,age_at_menarche,-0.0856,0.0474,-1.8078,7.06E-02,0.2497,0.0127,0.9663,0.0112,0.0016,0.0055
homosexuality.male.23andMe_UKB,birth_weight,-0.038,0.0493,-0.772,4.40E-01,0.1021,0.0069,1.0417,0.0101,-0.0044,0.0049
homosexuality.male.23andMe_UKB,whr_males,-0.0615,0.0833,-0.7389,4.60E-01,0.1176,0.015,0.9406,0.0067,0.01,0.0049
homosexuality.male.23andMe_UKB,whr_females,0.0225,0.0804,0.2798,7.80E-01,0.1073,0.0143,0.9428,0.0075,0.0007,0.0052
homosexuality.male.23andMe_UKB,loneliness_333k,0.1987,0.0548,3.6266,2.87E-04,0.0377,0.0023,1.0175,0.0081,0.0271,0.0053
homosexuality.male.23andMe_UKB,openness.GPC.23andme,0.0839,0.0625,1.3416,0.1797,0.0251,0.0029,0.993,0.0082,0.0017,0.0058